oportunidade_id,data_criacao,data_fechamento,cliente_ficticio,segmento,regiao,vendedor_ficticio,origem_lead,produto,campanha,status,probabilidade_pct,valor_bruto_brl,desconto_pct,valor_liquido_brl,ciclo_dias,motivo_perda,proxima_atividade,observacao
OPP-20260001,2026-09-25,,Orion Digital 001,Servicos empresariais,Sudeste,Lucas Ribeiro,Indicacao de parceiro,CRM Profissional,Clientes Inativos,Qualificacao,25,117700.00,15,100045.00,5,,2026-10-03,Contato com decisor ainda pendente
OPP-20260002,2026-08-16,,Nexo Tecnologia 002,Logistica,Sudeste,Ana Torres,Formulario do site,Analytics de Receita,Parcerias 360,Proposta enviada,55,103400.00,0,103400.00,45,,2026-08-24,Proposta em revisao juridica
OPP-20260003,2026-07-11,2026-08-23,Atlas Solucoes 003,Varejo,Nordeste,Renata Azevedo,Formulario do site,Integracao Enterprise,Rota 120,Perdida,0,187500.00,0,187500.00,43,Prioridade adiada,,Concorrencia com proposta mais agressiva
OPP-20260004,2026-08-03,,Raiz Industria 004,Tecnologia,Sul,Beatriz Moreira,Reativacao de cliente,CRM Profissional,Sem campanha,Em negociacao,75,123900.00,5,117705.00,58,,2026-08-12,Proposta em revisao juridica
OPP-20260005,2026-08-05,2026-09-02,Aurora Comercio 005,Servicos empresariais,Sul,Henrique Pires,Prospecção ativa,CRM Essencial,Parcerias 360,Perdida,0,53600.00,5,50920.00,28,Preco,,Oportunidade encerrada sem previsao de retomada
OPP-20260006,2026-09-06,2026-09-30,Aurora Servicos 006,Industria,Centro-Oeste,Patricia Duarte,Indicacao de parceiro,Integracao Enterprise,Expansao Regional,Ganha,100,202700.00,10,182430.00,24,,,Venda concluida apos revisao comercial
OPP-20260007,2026-08-03,,Norte Tecnologia 007,Tecnologia,Sul,Henrique Pires,Indicacao de parceiro,CRM Essencial,Rota 120,Qualificacao,25,69500.00,0,69500.00,58,,2026-08-16,Aguardando retorno do cliente
OPP-20260008,2026-08-17,2026-09-30,Via Comercio 008,Industria,Sudeste,Ana Torres,Reativacao de cliente,Integracao Enterprise,Parcerias 360,Perdida,0,220800.00,0,220800.00,44,Concorrente escolhido,,Oportunidade encerrada sem previsao de retomada
OPP-20260009,2026-07-08,,Delta Sistemas 009,Tecnologia,Sudeste,Diego Martins,Prospecção ativa,Analytics de Receita,Rota 120,Proposta enviada,55,88300.00,12,77704.00,84,,2026-07-22,Negociacao de escopo em andamento
OPP-20260010,2026-07-03,,Vetor Digital 010,Logistica,Sul,Henrique Pires,Indicacao de parceiro,Analytics de Receita,Sem campanha,Em negociacao,75,95900.00,10,86310.00,89,,2026-07-07,Aguardando retorno do cliente
OPP-20260011,2026-09-08,,Raiz Comercio 011,Tecnologia,Centro-Oeste,Patricia Duarte,Evento online,CRM Essencial,Rota 120,Proposta enviada,55,62400.00,0,62400.00,22,,2026-09-25,Contato com decisor ainda pendente
OPP-20260012,2026-07-24,,Mosaico Industria 012,Servicos empresariais,Sul,Henrique Pires,Evento online,Integracao Enterprise,Clientes Inativos,Qualificacao,25,200000.00,0,200000.00,68,,2026-08-06,Reuniao de demonstracao agendada
OPP-20260013,2026-09-08,,Prisma Logistica 013,Servicos empresariais,Sudeste,Diego Martins,Prospecção ativa,Automacao Comercial,Parcerias 360,Qualificacao,25,108500.00,3,105245.00,22,,2026-09-15,Contato com decisor ainda pendente
OPP-20260014,2026-08-11,,Prisma Solucoes 014,Varejo,Sudeste,Lucas Ribeiro,Reativacao de cliente,CRM Essencial,Clientes Inativos,Proposta enviada,55,62300.00,15,52955.00,50,,2026-08-18,Proposta em revisao juridica
OPP-20260015,2026-07-20,,Delta Logistica 015,Varejo,Sudeste,Lucas Ribeiro,Indicacao de parceiro,Automacao Comercial,Rota 120,Em negociacao,75,159200.00,7,148056.00,72,,2026-07-31,Aguardando retorno do cliente
OPP-20260016,2026-09-17,2026-09-30,Nexo Consultoria 016,Servicos empresariais,Sudeste,Juliana Freitas,Formulario do site,Integracao Enterprise,Clientes Inativos,Perdida,0,169200.00,10,152280.00,13,Concorrente escolhido,,Cliente solicitou nova avaliacao futura
OPP-20260017,2026-07-31,,Orion Servicos 017,Varejo,Sudeste,Ana Torres,Formulario do site,CRM Profissional,Clientes Inativos,Em negociacao,75,95700.00,12,84216.00,61,,2026-08-16,Aguardando retorno do cliente
OPP-20260018,2026-09-20,2026-09-30,Farol Solucoes 018,Logistica,Nordeste,Thiago Campos,Prospecção ativa,CRM Profissional,Expansao Regional,Perdida,0,90100.00,0,90100.00,10,Preco,,Oportunidade encerrada sem previsao de retomada
OPP-20260019,2026-07-01,2026-07-19,Prisma Logistica 019,Logistica,Sul,Beatriz Moreira,Indicacao de parceiro,CRM Essencial,Parcerias 360,Ganha,100,59200.00,5,56240.00,18,,,Contrato aprovado pelo cliente
OPP-20260020,2026-07-05,2026-08-12,Orion Consultoria 020,Servicos empresariais,Sudeste,Diego Martins,Reativacao de cliente,Analytics de Receita,Rota 120,Perdida,0,74600.00,0,74600.00,38,Preco,,Cliente solicitou nova avaliacao futura
OPP-20260021,2026-07-26,,Plena Industria 021,Varejo,Nordeste,Renata Azevedo,Prospecção ativa,Analytics de Receita,Sem campanha,Qualificacao,25,123100.00,7,114483.00,66,,2026-07-31,Aguardando retorno do cliente
OPP-20260022,2026-07-24,2026-09-20,Trilha Tecnologia 022,Industria,Sudeste,Ana Torres,Formulario do site,CRM Profissional,Clientes Inativos,Ganha,100,134600.00,5,127870.00,58,,,Venda concluida apos revisao comercial
OPP-20260023,2026-09-16,,Aurora Comercio 023,Tecnologia,Nordeste,Thiago Campos,Indicacao de parceiro,CRM Essencial,Clientes Inativos,Qualificacao,25,49400.00,3,47918.00,14,,2026-10-03,Contato com decisor ainda pendente
OPP-20260024,2026-07-15,,Norte Sistemas 024,Varejo,Sul,Beatriz Moreira,Prospecção ativa,Automacao Comercial,Rota 120,Em negociacao,75,136800.00,0,136800.00,77,,2026-07-27,Proposta em revisao juridica
OPP-20260025,2026-09-25,,Mosaico Comercio 025,Tecnologia,Sudeste,Diego Martins,Prospecção ativa,Automacao Comercial,Rota 120,Qualificacao,25,134400.00,7,124992.00,5,,2026-10-01,Proposta em revisao juridica
OPP-20260026,2026-08-30,,Nexo Digital 026,Logistica,Sudeste,Lucas Ribeiro,Prospecção ativa,Automacao Comercial,Clientes Inativos,Proposta enviada,55,145100.00,5,137845.00,31,,2026-09-16,Negociacao de escopo em andamento
OPP-20260027,2026-08-18,2026-09-15,Atlas Tecnologia 027,Industria,Sudeste,Diego Martins,Indicacao de parceiro,CRM Profissional,Parcerias 360,Ganha,100,126500.00,0,126500.00,28,,,Contrato aprovado pelo cliente
